Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG_P,Three_P,Three_PA,Three_P_P,Two_P,Two_PA,Two_P_P,eFG_P,FT,FTA,FT_P,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp_Dbl,Awards,player_id,player_full_name,first_name,last_name,is_active,team_id,team_full_name,abbreviation,nickname,city,state,year_founded
1.0,Shai Gilgeous-Alexander,26.0,OKC,PG,24.0,24.0,823.0,255.0,495.0,0.515,51.0,150.0,0.34,204.0,345.0,0.591,0.567,164.0,191.0,0.859,20.0,109.0,129.0,151.0,42.0,24.0,64.0,52.0,725.0,0.0,,1628983.0,Shai Gilgeous-Alexander,Shai,Gilgeous-Alexander,1.0,1610612760.0,Oklahoma City Thunder,OKC,Thunder,Oklahoma City,Oklahoma,1967.0
2.0,Giannis Antetokounmpo,30.0,MIL,PF,22.0,22.0,772.0,284.0,464.0,0.612,3.0,17.0,0.176,281.0,447.0,0.629,0.615,149.0,244.0,0.611,45.0,205.0,250.0,132.0,13.0,32.0,76.0,53.0,720.0,3.0,,203507.0,Giannis Antetokounmpo,Giannis,Antetokounmpo,1.0,1610612749.0,Milwaukee Bucks,MIL,Bucks,Milwaukee,Wisconsin,1968.0
3.0,De'Aaron Fox,27.0,SAC,PG,25.0,25.0,930.0,245.0,501.0,0.489,52.0,157.0,0.331,193.0,344.0,0.561,0.541,118.0,148.0,0.797,28.0,97.0,125.0,151.0,43.0,6.0,86.0,64.0,660.0,0.0,,1628368.0,De'Aaron Fox,De'Aaron,Fox,1.0,1610612758.0,Sacramento Kings,SAC,Kings,Sacramento,California,1948.0
4.0,Jayson Tatum,26.0,BOS,PF,23.0,23.0,839.0,210.0,464.0,0.453,88.0,242.0,0.364,122.0,222.0,0.55,0.547,140.0,175.0,0.8,12.0,192.0,204.0,132.0,28.0,12.0,64.0,57.0,648.0,0.0,,1628369.0,Jayson Tatum,Jayson,Tatum,1.0,1610612738.0,Boston Celtics,BOS,Celtics,Boston,Massachusetts,1946.0
5.0,Anthony Davis,31.0,LAL,C,23.0,23.0,813.0,227.0,429.0,0.529,16.0,50.0,0.32,211.0,379.0,0.557,0.548,162.0,203.0,0.798,57.0,201.0,258.0,80.0,29.0,46.0,46.0,47.0,632.0,0.0,,203076.0,Anthony Davis,Anthony,Davis,1.0,1610612747.0,Los Angeles Lakers,LAL,Lakers,Los Angeles,California,1948.0
6.0,Nikola Jokić,29.0,DEN,C,19.0,19.0,714.0,233.0,415.0,0.561,42.0,84.0,0.5,191.0,331.0,0.577,0.612,105.0,130.0,0.808,77.0,181.0,258.0,193.0,34.0,14.0,71.0,39.0,613.0,9.0,,203999.0,Nikola Jokic,Nikola,Jokic,1.0,1610612743.0,Denver Nuggets,DEN,Nuggets,Denver,Colorado,1976.0
7.0,Franz Wagner,23.0,ORL,SF,25.0,25.0,829.0,220.0,473.0,0.465,51.0,159.0,0.321,169.0,314.0,0.538,0.519,119.0,135.0,0.881,23.0,117.0,140.0,142.0,43.0,12.0,61.0,58.0,610.0,0.0,,1630532.0,Franz Wagner,Franz,Wagner,1.0,1610612753.0,Orlando Magic,ORL,Magic,Orlando,Florida,1989.0
8.0,Anthony Edwards,23.0,MIN,SG,23.0,23.0,836.0,211.0,466.0,0.453,103.0,241.0,0.427,108.0,225.0,0.48,0.563,82.0,101.0,0.812,14.0,110.0,124.0,93.0,32.0,14.0,72.0,46.0,607.0,0.0,,1630162.0,Anthony Edwards,Anthony,Edwards,1.0,1610612750.0,Minnesota Timberwolves,MIN,Timberwolves,Minnesota,Minnesota,1989.0
9.0,Jalen Brunson,28.0,NYK,PG,24.0,24.0,822.0,206.0,415.0,0.496,64.0,148.0,0.432,142.0,267.0,0.532,0.573,128.0,155.0,0.826,10.0,60.0,70.0,187.0,15.0,1.0,57.0,56.0,604.0,0.0,,1628973.0,Jalen Brunson,Jalen,Brunson,1.0,1610612752.0,New York Knicks,NYK,Knicks,New York,New York,1946.0
10.0,Devin Booker,28.0,PHO,SG,23.0,23.0,851.0,182.0,421.0,0.432,59.0,176.0,0.335,123.0,245.0,0.502,0.502,150.0,166.0,0.904,26.0,62.0,88.0,147.0,26.0,9.0,56.0,56.0,573.0,0.0,,1626164.0,Devin Booker,Devin,Booker,1.0,1610612756.0,Phoenix Suns,PHO,Suns,Phoenix,Arizona,1968.0
